tier,theme,title,url,why
1,"Counterparty risk, collateral & margin",Collateral and Financial Plumbing (2nd Impression),https://www.risk.net/collateral-and-financial-plumbing,Collateral mechanics; relevant to CRM eligibility and funded protection.
1,"Counterparty risk, collateral & margin",Collateral Markets and Financial Plumbing (3rd ed),https://www.risk.net/collateral-markets-and-financial-plumbing-3rd-edition,Collateral mechanics; relevant to CRM eligibility and funded protection.
1,"Counterparty risk, collateral & margin","Counterparty Risk Management: Measurement, Pricing and Regulation",https://www.risk.net/counterparty-risk-management-measurement-pricing-and-regulation,Counterparty credit — the exposure side of any protection trade.
1,"Counterparty risk, collateral & margin",Landmarks in XVA,https://www.risk.net/landmarks-in-xva,XVA — pricing the counterparty/funding cost of protection.
1,"Counterparty risk, collateral & margin",Margin in Derivatives Trading,https://www.risk.net/margin-in-derivatives-trading,Margin rules bear directly on derivative protection economics.
1,Credit derivatives & CDS,Credit Default Swaps: The Vanilla Essence,https://www.risk.net/credit-default-swaps-the-vanilla-essence,Directly on the CDS beat — contract mechanics behind the DC determinations pipeline.
1,Credit derivatives & CDS,Credit Derivatives,https://www.risk.net/credit-derivatives,Core reference for the instrument class the whole project tracks.
1,Credit risk & modelling,Correlation Risk Management and Modelling,https://www.risk.net/correlation-risk-modelling-and-management-2nd-edition,Correlation is the crux of tranched and portfolio credit protection.
1,Credit risk & modelling,Credit Modelling: Advanced Topics (2nd edition),https://www.risk.net/credit-modelling-advanced-topics,Credit modelling underpinning capital and protection analysis.
1,Credit risk & modelling,Credit Risk Measurement and Management: Disruption and Evolution,https://www.risk.net/credit-risk-measurement-and-management-disruption-and-evolution,Credit modelling underpinning capital and protection analysis.
1,Regulatory capital & Basel,"Adapting to Basel III, IV and the post financial crisis era (2nd edition)",https://www.risk.net/adapting-to-basel-iii-iv,Capital framework that CRR credit risk mitigation relief sits inside.
1,Regulatory capital & Basel,Basel III and Beyond,https://www.risk.net/basel-iii-and-beyond,Capital framework that CRR credit risk mitigation relief sits inside.
1,Regulatory capital & Basel,Derivatives Markets: The New Regulatory Paradigm,https://www.risk.net/derivatives-markets-the-new-regulatory-paradigm,Post-crisis derivatives regulation; frames the CRR/EMIR overlay.
1,Regulatory capital & Basel,Economic Capital,https://www.risk.net/economic-capital,Capital measurement — the quantum any CRM relief moves.
1,Regulatory capital & Basel,Firm-wide Stress Testing and Economic Capital,https://www.risk.net/firm-wide-stress-testing-and-economic-capital,Capital measurement — the quantum any CRM relief moves.
1,Regulatory capital & Basel,The Basel Handbook 2nd ed,https://www.risk.net/the-basel-handbook,Capital framework that CRR credit risk mitigation relief sits inside.
2,"ALM, IRRBB & liquidity",Interest Rate Risk in the Banking Book,https://www.risk.net/interest-rate-risk-in-the-banking-book,Banking-book ALM context.
