theme,title,url,why
ESG & climate,Climate Change: Managing the Financial Risk and Funding the Transition,https://www.risk.net/climate-change-managing-the-financial-risk-and-funding-the-transition,Climate/ESG risk.
ESG & climate,"Climate-Related Financial Risk: Arguments, Analytics and Regulations",https://www.risk.net/climate-related-financial-risk-arguments-analytics-and-regulations,Climate/ESG risk.
ESG & climate,ESG Investing and Analysis: A Practitioner’s Guide,https://www.risk.net/esg-investing-and-analysis-a-practitioners-guide,Climate/ESG risk.
Energy & commodities,Energy Markets,https://www.risk.net/energy-markets,Energy/commodity markets.
Energy & commodities,Managing Energy Price Risk (4th edition),https://www.risk.net/managing-energy-price-risk,Energy/commodity markets.
Energy & commodities,Navigating European Energy and Commodity Markets Regulation,https://www.risk.net/navigating-european-energy-and-commodity-markets-regulation,Energy/commodity markets.
Energy & commodities,Systematic Trading in Energy Markets,https://www.risk.net/systematic-trading-in-energy-markets,Energy/commodity markets.
Investment & portfolio management,A Guide to Behavioural Modelling,https://www.risk.net/a-guide-to-behavioural-modelling,Buy-side / portfolio construction.
Investment & portfolio management,A Guide to Equity Index Construction (2nd Edition),https://www.risk.net/a-guide-to-equity-index-construction-2nd-edition,Buy-side / portfolio construction.
Investment & portfolio management,An Introduction to Investment Funds,https://www.risk.net/an-introduction-to-investment-funds,Buy-side / portfolio construction.
Investment & portfolio management,Behavioural Risk Management,https://www.risk.net/behavioural-risk-management,Buy-side / portfolio construction.
Investment & portfolio management,Foreign Exchange Options and Risk Management,https://www.risk.net/foreign-exchange-options-and-risk-management,Buy-side / portfolio construction.
Investment & portfolio management,Global Macro: Theory and Practice,https://www.risk.net/global-macro-theory-and-practice,Buy-side / portfolio construction.
Investment & portfolio management,Inflation-Sensitive Assets,https://www.risk.net/inflation-sensitive-assets,Buy-side / portfolio construction.
Investment & portfolio management,MiFID II: Value-Generation for Investors,https://www.risk.net/mifid-ii-value-generation-for-investors,Buy-side / portfolio construction.
Investment & portfolio management,Modern Portfolio Management,https://www.risk.net/modern-portfolio-management,Buy-side / portfolio construction.
Investment & portfolio management,Performance Measurement for Alternative Investments,https://www.risk.net/performance-measurement-for-alternative-investments,Buy-side / portfolio construction.
Investment & portfolio management,Portfolio Construction and Management,https://www.risk.net/portfolio-construction-and-management,Buy-side / portfolio construction.
Investment & portfolio management,Portfolio Construction and Risk Budgeting (5th Edition),https://www.risk.net/portfolio-construction-and-risk-budgeting,Buy-side / portfolio construction.
Investment & portfolio management,Reserve Management Trends 2019,https://www.centralbanking.com/hsbc-reserve-management-trends-2019,Buy-side / portfolio construction.
Investment & portfolio management,Risk Budgeting 2nd Edition,https://www.risk.net/risk-budgeting,Buy-side / portfolio construction.
Investment & portfolio management,"The RMB Handbook: Trading, Investing and Hedging",https://www.risk.net/the-rmb-handbook-trading-investing-and-hedging,Buy-side / portfolio construction.
Investment & portfolio management,The Role of Currency in Institutional Portfolios,https://www.risk.net/the-role-of-currency-in-institutional-portfolios,Buy-side / portfolio construction.
"Operational, conduct & non-financial risk",Conduct Risk: The Practitioner’s Guide,https://www.risk.net/conduct-risk-a-practitioners-guide,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Cyber Risk,https://www.risk.net/cyber-risk,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Digital Money: Operational Risks and the Threats to Operational Resilience,https://www.risk.net/digital-money-operational-risks-and-the-threats-to-operational-resilience,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Front-to-Back Designing and Changing Trade Processing Infrastructure,https://www.risk.net/front-to-back-designing-and-changing-trade-processing-infrastructure,Trade infrastructure.
"Operational, conduct & non-financial risk",Key Risk Indicators,https://www.risk.net/key-risk-indicators,Non-financial risk — outside the credit beat.
"Operational, conduct & non-financial risk",Managing Operational Risk: New Insights and Lessons Learnt,https://www.risk.net/managing-operational-risk,Non-financial risk — outside the credit beat.
